"","State","CMS.Certification.Number..CCN..","Provider.Name","Address","City","Zip","Phone","Type.of.Ownership","Offers.Nursing.Care.Services","Offers.Physical.Therapy.Services","Offers.Occupational.Therapy.Services","Offers.Speech.Pathology.Services","Offers.Medical.Social.Services","Offers.Home.Health.Aide.Services","Date.Certified","Quality.of.Patient.Care.Star.Rating","How.often.the.home.health.team.began.their.patients..care.in.a.timely.manner","How.often.the.home.health.team.taught.patients..or.their.family.caregivers..about.their.drugs","How.often.the.home.health.team.checked.patients..risk.of.falling","How.often.the.home.health.team.checked.patients.for.depression","How.often.the.home.health.team.determined.whether.patients.received.a.flu.shot.for.the.currnet.flu.season","How.often.the.home.health.team.made.sure.that.their.patients.have.received.a.pneumococcal.vaccine..pneumonia.shot..","With.diabetes..how.often.the.home.health.team.got.doctor.s.orders..gave.foot.care..and.taught.patients.about.foot.care","How.often.patients.got.better.at.walking.or.moving.around","How.often.patients.got.better.at.getting.in.and.out.of.bed","How.often.patients.got.better.at.bathing","How.often.patients..breathing.improved","How.often.patients..wounds.improved.or.healed.after.an.operation","How.often.patients.got.better.at.taking.their.drugs.correctly.by.mouth","How.often.home.health.patients.had.to.be.admitted.to.the.hospital","How.often.patients.receiving.home.health.care.needed.urgent..unplanned.care.in.the.ER.without.being.admitted","Changes.in.Skin.Integrity.Post.Acute.Care..Pressure.Ulcer.Injury","How.often.physician.recommended.actions.to.address.medication.issues.were.completely.timely","DTC.Numerator","DTC.Denominator","DTC.Observed.Rate","DTC.Risk.Standardized.Rate","DTC.Risk.Standardized.Rate..Lower.Limit.","DTC.Risk.Standardized.Rate..Upper.Limit.","DTC.Performance.Categorization","PPR.Numerator","PPR.Denominator","PPR.Observed.Rate","PPR.Risk.Standardized.Rate","PPR.Risk.Standardized.Rate..Lower.Limit.","PPR.Risk.Standardized.Rate..Upper.Limit.","PPR.Performance.Categorization","How.much.Medicare.spends.on.an.episode.of.care.at.this.agency..compared.to.Medicare.spending.across.all.agencies.nationally","No..of.episodes.to.calc.how.much.Medicare.spends.per.episode.of.care.at.agency..compared.to.spending.at.all.agencies..national."
"789","CA","058452","HEAVENLY HOME HEALTHCARE, INC","3200 W BURBANK BLVD #100","LOS ANGELES",90029,3238995522,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-12,"3.5",92.3,100,99.7,98.5,87,79.9,100,78.4,100,78.4,80.2,NA,81.1,14.4,6.7,0.16,99.4,540,"567.0","95.24","85.14","83.39","86.63","Better Than National Rate","7.0","676.0","1.04","3.64","2.64","4.94","Same As National Rate","1.07",595
"790","CA","058453","WHITE SHIELD HOME HEALTH CARE SERVICES","331 ARDEN STREET SUITE 200","GLENDALE",91203,8182417404,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-04-09,"2.5",99.4,99.4,100,100,90.2,7.3,100,56.4,36.6,71,85.5,NA,14.8,9.4,4.4,0.12,99.4,236,"250.0","94.40","91.38","87.75","93.84","Better Than National Rate","","17.0","Not Available","Not Available","Not Available","Not Available","","0.78",562
"791","CA","058454","FAMILY HEALTH SERVICES, INC","7136 HASKELL AVENUE, SUITE 108","VAN NUYS",91406,8187801355,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-10,"3.0",91.1,99.1,99.5,98.7,35.9,41.4,99,77.9,40.8,85.6,52,NA,77.1,8.6,9.3,0.1,97,322,"372.0","86.56","88.10","84.59","91.25","Better Than National Rate","2.0","70.0","2.86","3.39","2.32","4.78","Same As National Rate","0.87",675
"792","CA","058455","L A CARE PROVIDER","11850 WILSHIRE BLVD, STE 102","LOS ANGELES",90025,3104788400,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-31,"4.0",98.8,96.3,100,98.8,85.5,86.1,92,100,94.9,95,70.8,NA,100,25.7,5.6,0.16,96.2,51,"109.0","46.79","51.28","41.69","60.69","Worse Than National Rate","0.0","24.0","0.00","3.42","2.38","5.04","Same As National Rate","1.30",510
"793","CA","058456","L A METROPOLITAN HOME HEALTH, INCORPORATION","17100 PIONEER BLVD, SUITE 313","ARTESIA",90701,5622460770,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-21,"3.5",96.6,96,100,99.3,62.6,78.2,92.3,66,88.5,64,100,NA,94.8,14.3,9,0,94,239,"261.0","91.57","93.42","89.43","96.39","Better Than National Rate","3.0","40.0","7.50","3.65","2.58","5.08","Same As National Rate","0.80",365
"794","CA","058457","GUARDIAN ANGEL HOME CARE, INC","3505 CAMINO DEL RIO SOUTH, SUITE 220","SAN DIEGO",92108,6196404383,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-06,"2.5",77.2,91.9,98,90.3,70.7,83.3,84.2,74.8,76.3,71.4,72.7,96.4,67.6,15.4,14.6,0.02,87.7,216,"357.0","60.50","69.05","63.42","73.83","Worse Than National Rate","1.0","93.0","1.08","3.25","2.28","4.52","Same As National Rate","1.27",1123
"795","CA","058458","MEDIA HOME HEALTH","225 E BROADWAY SUITE 111","GLENDALE",91205,8669993840,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-02-23,"3.0",97.7,100,99.2,99.8,99,100,100,83.8,73.8,98.5,70.5,NA,68.8,24.4,11.1,0,98.6,438,"613.0","71.45","80.56","77.01","84.83","Same As National Rate","8.0","129.0","6.20","3.86","2.75","5.46","Same As National Rate","1.31",1053
"796","CA","058459","SUPPORTIVE HOME HEALTH CARE CORP","4520 WILSHIRE BLVD, SUITE 203","LOS ANGELES",90010,2133831188,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-05,"2.5",89.8,98.1,99.8,99.6,70.5,45.4,100,71.3,77.3,76.9,69.5,NA,64.6,13.6,10,0.33,96.2,634,"743.0","85.33","90.58","88.21","93.27","Better Than National Rate","17.0","338.0","5.03","3.78","2.84","4.88","Same As National Rate","0.99",1370
"797","CA","058460","WESCARE HOME HEALTH PROVIDERS INC","16921 PARTHENIA STREET, SUITE 304","NORTH HILLS",91343,8186728808,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2007-10-19,"1.5",86.4,91.3,100,99.8,72.2,78.7,99.2,57,62.7,55.9,54,NA,56.1,14.7,12.1,0.18,77.6,337,"437.0","77.12","83.43","79.03","87.63","Better Than National Rate","2.0","203.0","0.99","2.99","2.17","4.06","Same As National Rate","0.94",1293
"798","CA","058461","HEALTHNET HOME CARE SERVICES, INC","2025 N GLENOAKS BLVD SUITE 203","BURBANK",91504,8188468483,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-20,"1.5",91,99.4,98.9,98.5,77.7,94,100,53.1,54,69.5,64.4,NA,52.9,20.4,8.8,0,98.5,243,"357.0","68.07","72.39","67.10","76.70","Worse Than National Rate","3.0","118.0","2.54","3.44","2.45","4.90","Same As National Rate","0.95",1025
"799","CA","058463","CITY OF ANGELS BEST CARE, INC","2252 BEVERLY BLVD SUITE 201","LOS ANGELES",90057,2134841530,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-05-07,"3.5",99.6,100,100,100,58.6,86.2,100,71.4,48.2,84.8,83.1,NA,73.3,12.7,8.4,0,96.8,178,"257.0","69.26","73.46","68.20","78.73","Same As National Rate","7.0","106.0","6.60","3.78","2.73","5.18","Same As National Rate","0.92",618
"800","CA","058465","L P G HEALTH CARE, INC","11360 VENTURA BLVD","STUDIO CITY",91604,8185473335,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-02-09,"3.0",100,100,100,100,100,100,100,76.4,46.5,69.4,86.2,NA,81.2,17,5.8,0,100,93,"107.0","86.92","85.11","78.78","90.17","Better Than National Rate","","7.0","Not Available","Not Available","Not Available","Not Available","","1.03",282
"801","CA","058466","ADVENT HEALTHCARE SERVICES, INC","3333 S BREA CANYON RD, STE 123","DIAMOND BAR",91765,9098392511,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-02-14,"2.5",96.8,83.1,99.8,99.7,76,76.6,95.9,67.8,69.1,81.8,72,NA,67.4,17.1,11.4,0,80,457,"595.0","76.81","87.11","83.43","90.91","Better Than National Rate","4.0","247.0","1.62","3.01","2.21","4.13","Same As National Rate","1.00",937
"802","CA","058467","EGIDA HOME HEALTH CARE, INC","13701 RIVERSIDE DR SUITE 316","SHERMAN OAKS",91423,8182423536,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-02,"4.0",96.2,98.5,100,100,82.4,86.7,100,90.1,70.8,91.1,92.2,NA,78.5,15.2,9.6,0,96.2,116,"138.0","84.06","87.52","80.26","92.84","Better Than National Rate","0.0","49.0","0.00","3.27","2.31","4.66","Same As National Rate","0.82",219
"803","CA","058468","PARADISE HOME HEALTH CARE SERVICES, INC.","12509 OXNARD STREET, SUITE 212P","NORTH HOLLYWOOD",91606,8185060471,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-09,"5.0",99.3,100,100,100,99.4,100,100,84.5,93.7,93.2,89.5,NA,93.9,9.1,7.5,0.08,96.8,511,"607.0","84.18","84.61","81.35","87.64","Better Than National Rate","4.0","78.0","5.13","3.59","2.59","5.03","Same As National Rate","0.89",1160
"804","CA","058469","A AND E HOME HEALTH SERVICES, INC","2377 W FOOTHILL BLVD SUITE 14","UPLAND",91786,9099462232,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-03-28,"3.5",85.7,100,100,97.9,88,93.5,NA,94.4,71,87.7,72.3,NA,83.8,15.8,8.1,0,98,43,"51.0","84.31","86.94","76.37","94.76","Same As National Rate","","10.0","Not Available","Not Available","Not Available","Not Available","","0.92",80
"805","CA","058473","AAA HOME HEALTH CARE INC","995 E LOS ANGELES AVENUE, SUITE #4","SIMI VALLEY",93065,8055810640,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-05-29,"3.5",96.9,96.9,98.4,95.3,30.2,32,81.2,95.9,62.9,86.6,76.4,NA,45.9,7.3,5.1,0.24,76.6,134,"186.0","72.04","72.77","66.71","78.53","Worse Than National Rate","1.0","23.0","4.35","3.51","2.48","4.90","Same As National Rate","0.75",336
"806","CA","058475","BLUE SKY HOME HEALTH, INC","6450 BELLINGHAM AVENUE, SUITE A","NORTH HOLLYWOOD",91606,8187541000,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-11,"3.0",93.1,100,100,100,89.9,97.2,100,63.5,42.7,89.1,68.3,NA,72.8,9.4,5.9,0.06,96.7,293,"377.0","77.72","78.93","75.16","82.92","Same As National Rate","","18.0","Not Available","Not Available","Not Available","Not Available","","0.83",782
"807","CA","058476","DUHANEY HOME HEALTH CARE, INC","360 N SEPULVEDA BLVD SUITE 1048","EL SEGUNDO",90245,3104161160,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",2008-07-29,"2.5",100,98.4,98.2,98.4,92.3,33.3,96.3,76.8,43.1,55.5,61.4,NA,59,16,14.1,0.33,78.7,46,"71.0","64.79","71.66","59.68","81.80","Same As National Rate","","17.0","Not Available","Not Available","Not Available","Not Available","","0.89",304
"808","CA","058477","GIBRALTAR HOME HEALTH SERVICES LLC","27001 AGOURA ROAD, SUITE 170","CALABASAS",91301,8188808600,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-07-22,"3.5",93.5,100,100,89.1,72.2,93.5,NA,85.9,76.2,87.4,76.5,NA,78.9,NA,NA,0,93.5,22,"41.0","53.66","67.96","52.72","82.88","Same As National Rate","","16.0","Not Available","Not Available","Not Available","Not Available","","1.14",82
"809","CA","058478","FOREVER CARING HOME HEALTH SERVICES, INC","3756 SANTA ROSALIA DR, SUITE 520","LOS ANGELES",90008,3232937072,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-12,"2.5",97.2,94.1,100,100,17.1,63.6,89.6,72.6,73.1,68.9,77.2,NA,58.4,14.4,7.9,0,96.5,98,"140.0","70.00","74.11","66.65","80.89","Same As National Rate","","11.0","Not Available","Not Available","Not Available","Not Available","","0.77",526
"810","CA","058479","VISION HOME HEALTH CARE","39899 BALENTINE DRIVE, SUITE 115","NEWARK",94560,5107951632,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-05-19,"3.0",94.4,100,100,100,100,97.4,100,47.7,49.3,85.1,82.5,NA,65.3,8.8,12.6,0,99.6,303,"342.0","88.60","95.31","91.42","98.67","Better Than National Rate","7.0","240.0","2.92","3.40","2.42","4.74","Same As National Rate","0.91",497
"811","CA","058480","HOLLYWOOD HEALTH SERVICES, INC","2117 N LAKE AVENUE, UNIT 101","ALTADENA",91001,3234647905,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-04,"2.0",96.3,97.2,99,100,64.9,78.7,100,57.1,58.7,63.5,73.4,NA,50.9,21.4,9.2,0,100,85,"110.0","77.27","80.20","72.15","87.52","Same As National Rate","","17.0","Not Available","Not Available","Not Available","Not Available","","0.97",240
"812","CA","058481","MBC HOME HEALTH SERVICES, INC.","1648 WILCOX AVE SUITE B","HOLLYWOOD",90028,3232545399,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-26,"3.0",87.9,96.6,100,100,65.3,34.7,99,64.6,43.2,74.9,88.8,NA,91.5,14.1,10.9,0,93.2,281,"345.0","81.45","85.68","80.86","89.47","Better Than National Rate","1.0","48.0","2.08","3.39","2.40","4.77","Same As National Rate","1.01",569
"813","CA","058483","HOLY INFANT HOME CARE, INC","791 MARYLIND AVE","CLAREMONT",91711,9096039312,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-30,"2.0",75.4,94.9,98.3,86.9,33.5,44.5,92.1,64.2,61.9,67.2,73.7,NA,60.5,14.7,10.1,0,83.6,247,"366.0","67.49","72.93","67.84","78.02","Worse Than National Rate","2.0","176.0","1.14","3.10","2.24","4.24","Same As National Rate","0.96",1177
"814","CA","058484","EFFICIENT HOME HEALTH SERVICES, INC","8925 SEPULVEDA BLVD, SUITE 201","NORTH HILLS",91343,8188915114,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-10,"2.5",92.4,94.7,96.5,97,71.8,87.4,94.1,68.8,71.1,69.9,79.1,NA,75.4,20.8,13.4,0.91,91.9,95,"151.0","62.91","71.26","62.68","79.14","Same As National Rate","0.0","44.0","0.00","3.32","2.37","4.56","Same As National Rate","0.84",316
"815","CA","058485","HOMEBOUND HEALTH CARE SERVICES","10515 BALBOA BLVD, SUITE 355","GRANADA HILLS",91344,8183680153,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-06-26,"2.5",93.5,98,100,97.4,32.7,93.4,100,72.1,55.4,66.3,54.7,NA,80.6,12.9,11.1,1.6,93.2,74,"134.0","55.22","61.59","53.14","70.04","Worse Than National Rate","4.0","94.0","4.26","3.55","2.49","5.05","Same As National Rate","1.07",800
"816","CA","058486","ST BERNARDINE CARE PROVIDERS INC","18064 WIKA ROAD, SUITE #201","APPLE VALLEY",92307,7602426720,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-07-22,"2.5",92.5,100,100,100,98.6,97.5,100,71.4,68,85,84,NA,56.5,19.3,4.2,0,100,110,"144.0","76.39","87.58","79.59","94.45","Better Than National Rate","7.0","115.0","6.09","3.70","2.58","4.93","Same As National Rate","1.06",163
"817","CA","058487","AMERICAN DREAM HOME HEALTH  CARE, INC","5655 LINDERO CANYON ROAD, SUITE 302","WESTLAKE VILLAGE",91362,8187078999,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-02-13,"3.5",94.5,100,100,98.6,98.3,93.2,100,89,64.9,83.3,73.1,NA,67.2,11.7,14.3,0.29,97.3,80,"96.0","83.33","82.77","75.30","88.47","Same As National Rate","","14.0","Not Available","Not Available","Not Available","Not Available","","0.85",185
"818","CA","058491","DIVINE CARE HOME HEALTH SERVICES INC","1985 YOSEMITE AVENUE, SUITE 250","SIMI VALLEY",93063,8055789481,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-09-22,"1.0",90.3,77.6,99.3,88.8,83.9,81.3,90.8,47.2,45,60.4,61.1,86.1,40.5,20.3,7.8,0.51,79.4,352,"440.0","80.00","85.31","81.48","89.29","Better Than National Rate","7.0","207.0","3.38","3.41","2.54","4.50","Same As National Rate","0.96",785
"819","CA","058492","HOPE HOME HEALTH, LLC","6377 CLARK AVENUE, SUITE 101","DUBLIN",94568,5108874400,"Non - Profit Private","Yes","Yes","Yes","Yes","Yes","Yes",2008-10-30,"3.0",93,95.8,100,97.5,80.6,97.6,72.8,66,77.3,74.3,86.1,79.9,65.3,0,28.2,0.5,81.9,132,"144.0","91.67","97.10","92.09","100","Better Than National Rate","5.0","162.0","3.09","3.40","2.39","4.66","Same As National Rate","0.73",189
"820","CA","058493","ALPHA PLUS HOME HEALTH SERVICES","7227 BROADWAY, SUITE 201","LEMON GROVE",91945,6193370955,"Proprietary","Yes","Yes","Yes","Yes","Yes","No",2008-10-24,"2.0",93.6,91.8,96.1,84,70.3,92.2,95.4,61.8,44.7,72,87.5,NA,45.1,16.1,13.8,0.51,75.2,573,"675.0","84.89","84.91","82.26","87.68","Better Than National Rate","9.0","208.0","4.33","3.51","2.61","4.80","Same As National Rate","1.03",763
"821","CA","058494","PURITY HOME HEALTH SERVICES","12631 E IMPERIAL HIGHWAY, STE D-118","SANTA FE SPRINGS",90670,5628635652,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-09-24,"3.0",92.1,99.2,99.6,99.2,22.8,51.9,100,68.6,50.1,84.1,89,NA,64.8,11.5,10.1,0,96.7,264,"306.0","86.27","86.80","83.05","90.17","Better Than National Rate","3.0","73.0","4.11","3.43","2.41","4.93","Same As National Rate","0.77",621
"822","CA","058496","SEQUOIA HOME HEALTH","830 HILLVIEW COURT, SUITE 225","MILPITAS",95035,5107391992,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-10-20,"4.5",99.8,99.7,100,100,97.2,99.1,99,85.7,82.9,89,88,97.8,82.6,13.1,9.2,0,98,355,"402.0","88.31","94.74","90.92","98.06","Better Than National Rate","8.0","271.0","2.95","3.42","2.53","4.64","Same As National Rate","0.76",391
"823","CA","058498","SUPERIOR HOME HEALTH SERVICES, INC.","7352 FOOTHILL BLVD, STE 102","TUJUNGA",91042,8189579991,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-07-10,"2.5",100,100,100,100,93.7,95.5,97.6,61.8,64,64.5,72,NA,69.6,14.3,10.9,0,99.4,123,"228.0","53.95","58.29","52.07","64.71","Worse Than National Rate","3.0","103.0","2.91","3.45","2.44","4.91","Same As National Rate","1.06",1104
"824","CA","058499","GOOD SPIRIT HOME HEALTH SERVICES, INC","8322 BEVERLY BLVD, # 305","LOS ANGELES",90048,8182448700,"Proprietary","Yes","Yes","Yes","No","Yes","Yes",2008-08-14,"4.5",98.8,100,100,100,98.3,98.6,100,100,43.5,95.8,97.9,NA,90.4,10.4,7,0.2,99.4,412,"469.0","87.85","85.90","82.85","88.59","Better Than National Rate","0.0","20.0","0.00","3.40","2.42","4.77","Same As National Rate","0.83",932
"825","CA","059000","MIRACLE HOME HEALTH CARE, INC","5670 WILSHIRE BLVD, SUITE 1600","LOS ANGELES",90036,3237823883,"Government - State/ County","Yes","Yes","Yes","Yes","Yes","Yes",2008-10-16,"4.0",97.1,98.1,99.9,98.5,75.2,73,99.4,80,79,89.3,90.3,90.9,76.9,13.9,17.5,0,79,483,"706.0","68.41","80.42","77.06","84.52","Same As National Rate","49.0","466.0","10.52","4.91","3.92","6.02","Worse Than National Rate","1.15",1902
"826","CA","059001","GREATER HOME HEALTH CARE INCORPORATED","2400 W CARSON ST SUITE 235","TORRANCE",90501,3107871731,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-09-10,"3.0",99.2,100,100,100,50,99.2,97.7,72.1,61.2,77.6,78.8,NA,56.9,9.8,15.4,0,98.4,80,"108.0","74.07","81.28","72.23","88.47","Same As National Rate","1.0","27.0","3.70","3.45","2.39","5.00","Same As National Rate","0.94",192
"827","CA","059003","WEST COAST NURSING VENTURA INC","2955 E HILLCREST DR STE 121","THOUSAND OAKS",91362,8054960900,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-11-19,"3.5",99.3,100,100,100,95.5,95.2,97.8,81.2,81.5,84.7,88.4,NA,86.9,18.1,11.4,0.37,99.3,259,"274.0","94.53","85.44","82.83","87.45","Better Than National Rate","4.0","373.0","1.07","3.46","2.40","5.01","Same As National Rate","1.03",293
"828","CA","059004","NEW BEGINNINGS HOME HEALTH CARE, INC","5300 SANTA MONICA BLVD, SUITE 306","LOS ANGELES",90029,3234606000,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-09-27,"3.5",100,100,99,100,94.9,91.6,100,83.3,62.1,79.3,75.4,NA,80.5,14.1,5.2,0,96.3,154,"172.0","89.53","86.63","81.85","90.35","Better Than National Rate","","4.0","Not Available","Not Available","Not Available","Not Available","","0.87",350
"829","CA","059005","OPTIMA HEALTH CARE, INC","4532 RINETTI LANE","LA CANADA",91011,8185076957,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-10-24,"3.0",96.5,98.2,98,98.2,8.7,1.7,100,83.6,68.8,79.5,22.1,NA,87.6,15.2,3.2,0.31,94.6,61,"116.0","52.59","57.24","48.94","66.24","Worse Than National Rate","2.0","62.0","3.23","3.56","2.48","5.03","Same As National Rate","1.04",507
"830","CA","059006","ARCHANGEL HOME HEALTH, INC","16446 WOODRUFF AVENUE, SUITE A","BELLFLOWER",90706,5628617047,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-09-26,"1.5",90.9,100,100,98.9,89.5,94.3,NA,38.2,50.4,46.7,46.6,NA,34.2,15.4,12.5,0,64.8,97,"111.0","87.39","94.25","86.99","99.48","Better Than National Rate","0.0","26.0","0.00","3.37","2.33","4.68","Same As National Rate","0.81",132
"831","CA","059007","THE DOCTOR'S CHOICE AGENCY","6222 WILSHIRE BLVD, SUITE 515","LOS ANGELES",90048,8558570797,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-10-31,"5.0",99.9,100,100,99.9,97.6,99.3,99.6,100,94.3,99.6,100,99.4,87.6,15.5,10.4,0.23,99.7,1107,"1262.0","87.72","88.25","86.33","90.12","Better Than National Rate","31.0","1181.0","2.62","3.53","2.76","4.42","Same As National Rate","1.01",1675
"832","CA","059009","ST JOSEPH HOME HEALTH","1525 MCCARTHY BLVD, SUITE 208","MILPITAS",95035,4082445488,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2009-02-18,"4.5",99.3,100,100,100,99.1,99.2,99,80.5,74.6,100,94.2,NA,100,11.7,11,0,99.5,1063,"1138.0","93.41","95.93","94.44","97.47","Better Than National Rate","5.0","250.0","2.00","3.45","2.45","4.72","Same As National Rate","0.69",1246
"833","CA","059010","CENTRAL COAST HOME HEALTH INC","253 GRANADA DR STE D","SAN LUIS OBISPO",93401,8055432244,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2009-01-16,"3.0",95.7,98.9,99.7,98.4,77.8,84.7,98,71.8,75.6,76.7,86.2,94.2,66.4,14.8,15.4,0.21,97.6,6629,"7664.0","86.50","89.04","88.40","90.13","Better Than National Rate","91.0","4305.0","2.11","2.93","2.49","3.47","Better Than National Rate","0.89",10150
"834","CA","059011","APEX HOME HEALTH CARE, INC","1619 1/2 VICTORY BOULEVARD","GLENDALE",91201,8185007167,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-11-12,"3.0",98.9,100,100,98.5,68.4,32.7,99.1,56.5,49.8,86.6,90.7,NA,66.2,12.8,9.8,0.1,98.5,320,"373.0","85.79","86.54","83.12","89.87","Better Than National Rate","3.0","68.0","4.41","3.54","2.44","4.96","Same As National Rate","0.91",598
"835","CA","059012","A TO Z HOME HEALTH, INC","212 NORTH GLENDALE AVE SUITE 200","GLENDALE",91206,8185093000,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-11-20,"3.0",95.5,99.1,100,99.8,64.7,52,99.5,79,88,77.1,76.7,NA,69.2,14.6,7.4,0.04,94.6,779,"927.0","84.03","82.32","80.21","84.73","Better Than National Rate","14.0","527.0","2.66","3.76","2.89","5.06","Same As National Rate","1.01",1362
"836","CA","059013","QUALITY FIRST HOME HEALTH CARE","600 NORTH MOUNTAIN AVENUE SUITE B205","UPLAND",91786,9099209360,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2009-12-09,"3.0",90.9,99.4,99.4,99.7,83.6,89.2,94.5,69.9,71.5,74.8,100,97.6,53.3,9.5,8.4,0.19,96.2,285,"353.0","80.74","85.91","81.61","89.67","Better Than National Rate","6.0","159.0","3.77","3.47","2.47","4.90","Same As National Rate","1.01",697
"837","CA","059015","TRIUNE HOME HEALTH PROVIDER, INC","6030 RIVERSIDE DRIVE SUITE H","CHINO",91710,9094655100,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-07-15,"1.5",95.6,97.8,100,97.7,65.5,28.2,95.5,51,59.6,61.2,NA,NA,NA,21.6,14.4,0,60,23,"57.0","40.35","54.56","40.54","69.04","Worse Than National Rate","1.0","27.0","3.70","3.48","2.50","4.86","Same As National Rate","0.98",107
"838","CA","059016","HEALTH LINK HOME HEALTH AGENCY","1000 BRANNAN STREET, SUITE 205","SAN FRANCISCO",94103,4156645500,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2009-02-05,"5.0",99.9,99.8,99.8,100,67.6,87.2,97.9,92.7,92.1,95,87.8,99.3,92.5,13.4,14.6,0,99.6,433,"573.0","75.57","85.65","82.25","89.30","Better Than National Rate","8.0","312.0","2.56","3.31","2.33","4.46","Same As National Rate","0.91",1080
"839","CA","059017","HEAVEN HOME HEALTH CARE, INC","14557 FRIAR ST, STE A1","VAN NUYS",91411,8185084491,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-11-20,"3.0",88.7,95.4,99.4,99.8,74.7,65.9,98.5,73.8,61.9,77.8,79.4,61.1,74.4,10.8,9.6,0,72.2,1044,"1167.0","89.46","94.28","92.57","96.18","Better Than National Rate","11.0","244.0","4.51","3.54","2.62","4.85","Same As National Rate","0.98",2805
"840","CA","059018","WELLNESS HOME HEALTH CARE INC","2415 HONOLULU AVENUE SUITE C","MONTROSE",91020,8186388767,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-09-05,"2.0",97.3,98.9,100,100,51.5,12.1,100,65,58.9,69.6,61.5,NA,57.6,18.1,9.5,0.11,98.9,166,"205.0","80.98","85.41","79.44","90.68","Better Than National Rate","4.0","78.0","5.13","3.63","2.56","5.03","Same As National Rate","1.06",433
"841","CA","059019","RAE STAR HEALTH SYSTEMS, INC","17215 STUDEBAKER ROAD SUITE 175","CERRITOS",90703,5628651340,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-10-23,"1.5",91.1,96.9,100,96,67.7,71,100,62.1,58.1,58.4,59.5,NA,46.2,17.4,14.4,0,91.4,163,"225.0","72.44","78.43","72.33","84.02","Same As National Rate","4.0","68.0","5.88","3.52","2.59","4.88","Same As National Rate","1.09",512
"842","CA","059020","BRIO HOME HEALTH SERVICES, INC","14712 PIPELINE AVENUE, #B","CHINO",91709,9096064415,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",2008-12-10,"4.5",94.8,98.2,99.8,95.1,94.1,97.3,99.6,86.3,91.8,92.6,93.4,90.7,92.3,14.6,13,0,91,570,"729.0","78.19","86.63","83.62","89.62","Better Than National Rate","14.0","518.0","2.70","3.06","2.28","4.08","Same As National Rate","0.93",1075
